Dham,Task,Cost_A,Time_A,Comfort_A,Reliability_A,Transfers_A,Cost_B,Time_B,Comfort_B,Reliability_B,Transfers_B,Cost_C,Time_C,Comfort_C,Reliability_C,Transfers_C,Alt_A,Alt_B,Alt_C
Kedarnath,1,800,10.0,Medium,Medium,1,2500,8.0,High,Medium,0,1800,5.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Kedarnath,2,700,12.0,Low,Low,1,3000,7.5,High,High,0,1800,5.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Kedarnath,3,700,12.0,Low,Low,1,3000,7.5,High,High,0,1200,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Kedarnath,4,1000,11.0,Low,Medium,1,3000,7.5,High,High,0,1800,5.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Kedarnath,5,1000,11.0,Low,Medium,1,2500,8.0,High,Medium,0,1800,5.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Kedarnath,6,700,12.0,Low,Low,1,3000,7.5,High,High,0,900,7.0,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Kedarnath,7,1000,11.0,Low,Medium,1,2500,8.0,High,Medium,0,1200,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Kedarnath,8,1000,11.0,Low,Medium,1,2500,8.0,High,Medium,0,900,7.0,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Kedarnath,9,800,10.0,Medium,Medium,1,2500,8.0,High,Medium,0,900,7.0,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Kedarnath,10,1000,11.0,Low,Medium,1,3000,7.5,High,High,0,900,7.0,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Kedarnath,11,800,10.0,Medium,Medium,1,3000,7.5,High,High,0,1800,5.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Kedarnath,12,800,10.0,Medium,Medium,1,3000,7.5,High,High,0,900,7.0,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Kedarnath,13,700,12.0,Low,Low,1,2500,8.0,High,Medium,0,900,7.0,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Kedarnath,14,800,10.0,Medium,Medium,1,1300,9.0,Medium,Medium,1,900,7.0,Medium,High,1,Bus/MiniBus,Shared Taxi,Railway + Feeder Bus
Kedarnath,15,1000,11.0,Low,Medium,1,3000,7.5,High,High,0,1200,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Kedarnath,16,700,12.0,Low,Low,1,2500,8.0,High,Medium,0,1800,5.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Badrinath,1,1000,11.0,Low,Medium,1,2500,8.0,High,Medium,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Badrinath,2,700,12.0,Low,Low,1,2500,8.0,High,Medium,0,1800,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Badrinath,3,1000,11.0,Low,Medium,1,1300,9.0,Medium,Medium,1,1200,6.5,High,High,1,Bus/MiniBus,Shared Taxi,Railway + Feeder Bus
Badrinath,4,800,10.0,Medium,Medium,1,3000,7.5,High,High,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Badrinath,5,800,10.0,Medium,Medium,1,2500,8.0,High,Medium,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Badrinath,6,800,10.0,Medium,Medium,1,2500,8.0,High,Medium,0,1800,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Badrinath,7,700,12.0,Low,Low,1,3000,7.5,High,High,0,1200,6.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Badrinath,8,1000,11.0,Low,Medium,1,3000,7.5,High,High,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Badrinath,9,1000,11.0,Low,Medium,1,2500,8.0,High,Medium,0,1800,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Badrinath,10,700,12.0,Low,Low,1,3000,7.5,High,High,0,1800,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Badrinath,11,700,12.0,Low,Low,1,2500,8.0,High,Medium,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Badrinath,12,700,12.0,Low,Low,1,3000,7.5,High,High,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Badrinath,13,800,10.0,Medium,Medium,1,3000,7.5,High,High,0,1800,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Badrinath,14,1000,11.0,Low,Medium,1,2500,8.0,High,Medium,0,1200,6.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Badrinath,15,800,10.0,Medium,Medium,1,1300,9.0,Medium,Medium,1,900,7.5,Medium,High,1,Bus/MiniBus,Shared Taxi,Railway + Feeder Bus
Badrinath,16,1000,11.0,Low,Medium,1,3000,7.5,High,High,0,1200,6.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Hemkund Sahib,1,800,10.0,Medium,Medium,1,1300,9.0,Medium,Medium,1,900,7.5,Medium,High,1,Bus/MiniBus,Shared Taxi,Railway + Feeder Bus
Hemkund Sahib,2,700,12.0,Low,Low,1,2500,8.0,High,Medium,0,1800,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Hemkund Sahib,3,700,12.0,Low,Low,1,3000,7.5,High,High,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Hemkund Sahib,4,800,10.0,Medium,Medium,1,2500,8.0,High,Medium,0,1800,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Hemkund Sahib,5,800,10.0,Medium,Medium,1,3000,7.5,High,High,0,1800,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Hemkund Sahib,6,1000,11.0,Low,Medium,1,2500,8.0,High,Medium,0,1200,6.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Hemkund Sahib,7,1000,11.0,Low,Medium,1,2500,8.0,High,Medium,0,1800,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Hemkund Sahib,8,700,12.0,Low,Low,1,3000,7.5,High,High,0,1800,6.0,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Taxi
Hemkund Sahib,9,1000,11.0,Low,Medium,1,2500,8.0,High,Medium,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Hemkund Sahib,10,800,10.0,Medium,Medium,1,3000,7.5,High,High,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Hemkund Sahib,11,700,12.0,Low,Low,1,2500,8.0,High,Medium,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Hemkund Sahib,12,700,12.0,Low,Low,1,3000,7.5,High,High,0,1200,6.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Hemkund Sahib,13,800,10.0,Medium,Medium,1,2500,8.0,High,Medium,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Hemkund Sahib,14,1000,11.0,Low,Medium,1,3000,7.5,High,High,0,900,7.5,Medium,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Hemkund Sahib,15,1000,11.0,Low,Medium,1,3000,7.5,High,High,0,1200,6.5,High,High,1,Bus/MiniBus,Private Taxi/Car,Railway + Feeder Bus
Hemkund Sahib,16,1000,11.0,Low,Medium,1,1300,9.0,Medium,Medium,1,1200,6.5,High,High,1,Bus/MiniBus,Shared Taxi,Railway + Feeder Bus
